Reservoir unit,Latitude,Longitude,Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
BAIYANGHE (JIANQUANZI M SAND),39.7658,97.5663,COMPRESSION/EROSION/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,THRUST,1532,PALEOGENE,SANDSTONE,210.0,82.0,17.8,24.0
LEADVILLE (REDWALL),38.1983,-109.2767,GRAVITY/EVAPORITE/COMPRESSION/EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC/SUB-SALT,7290,CARBONIFEROUS,DOLOMITE,430.0,225.0,5.5,22.0
WAHOO (LISBURNE),70.2425,-148.3955,,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8400,CARBONIFEROUS,LIMESTONE,700.0,100.0,,1.0
GLAUCONITE (G-U-W POOLS),50.1951,-112.6507,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3740,CRETACEOUS,SANDSTONE,66.0,20.0,22.0,800.0
LOWER TUSCALOOSA,31.3576,-90.3754,,ONSHORE,OIL,REJUVENATING,PASSIVE MARGIN,10420,CRETACEOUS,SANDSTONE,40.0,30.0,,100.0
MISSION CANYON (MADISON),47.2895,-103.0985,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9673,CARBONIFEROUS,DOLOMITE,465.0,24.0,14.0,30.0
PHOSPHORIA (ERVAY),43.8,-108.3,COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5880,PERMIAN,DOLOMITE,100.0,65.0,15.0,2.6
WUMISHAN,38.2892,116.0,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,10531,PROTEROZOIC,DOLOMITE,781.0,381.0,3.2,5.45
ZHUJIANG,20.8219,115.6985,EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,2825,NEOGENE,LIMESTONE,1562.0,131.0,25.0,651.0
SPARKY,53.2642,-110.0276,COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,58.0,33.0,30.0,2000.0
WASECA,53.2642,-110.0276,COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,1900,CRETACEOUS,SANDSTONE,90.0,50.0,34.0,2000.0
BULMINELLA 1 SAND,28.101,-90.2021,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,8075,NEOGENE,SANDSTONE,460.0,150.0,24.0,900.0
WILCOX (1ST WILCOX SAND),30.5218,-90.9141,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,10082,PALEOGENE,SANDSTONE,135.0,26.0,20.0,35.0
TENSLEEP,42.2392,-107.5587,,ONSHORE,OIL,NEARLY DEPLETED,THRUST,3800,CARBONIFEROUS,SANDSTONE,600.0,210.0,,31.0
DAKOTA SANDSTONE (LOWER MEMBER),41.0204,-110.2755,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,13250,CRETACEOUS,SANDSTONE,250.0,23.0,14.0,60.0
TYUMEN-NAUNAK,58.1,78.5167,COMPRESSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,7610,JURASSIC,SANDSTONE,300.0,200.0,17.0,20.0
SAN ANDRES,32.226,-102.23,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4680,PERMIAN,DOLOMITE,400.0,50.0,10.5,8.0
LATROBE (L1 UNIT),-38.4822,148.3556,,OFFSHORE,OIL,NEARLY DEPLETED,INVERSION/RIFT,7235,PALEOGENE,SANDSTONE,360.0,298.0,,800.0
O-Q SANDS,28.04,-90.96,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SUB-SALT/PASSIVE MARGIN,13265,NEOGENE,LOW-RESISTIVITY SANDSTONE,1500.0,295.0,29.0,1500.0
YANAN,36.22,107.62,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3776,JURASSIC,SANDSTONE,984.0,24.0,16.0,72.0
ILAM,30.8833,48.8333,COMPRESSION/EVAPORITE,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,10211,CRETACEOUS,CHALKY LIMESTONE,328.0,213.0,13.0,0.8
SARVAK 1,30.8833,48.8333,COMPRESSION/EVAPORITE,ONSHORE,OIL,CONTINUING DEVELOPMENT,FORELAND,10703,CRETACEOUS,CHALKY LIMESTONE,820.0,928.0,9.0,0.2
PARFENOV,57.4375,107.3058,COMPRESSION/EVAPORITE,ONSHORE,GAS-CONDENSATE,DEVELOPING,RIFT/SALT,8596,PROTEROZOIC,SANDSTONE,172.0,25.0,9.0,152.0
CARAPEBUS,-22.4348,-40.0666,GRAVITY/EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/PASSIVE MARGIN,5543,PALEOGENE-NEOGENE,SANDSTONE,150.0,150.0,28.5,2000.0
KYZYLSYR,63.75,124.0,TRANSPRESSION/UPLIFT,ONSHORE,GAS,DECLINING PRODUCTION,PASSIVE MARGIN,5627,JURASSIC,SANDSTONE,900.0,23.0,20.0,95.0
HAUPTDOLOMITE (SCHONKIRCHEN UBERTIEF),48.3942,16.7161,COMPRESSION/SHALE,ONSHORE,GAS,MATURE PRODUCTION,THRUST,15420,TRIASSIC,DOLOMITE,2953.0,984.0,3.8,2.0
MATZEN SAND,48.3942,16.7161,,ONSHORE,OIL,MATURE PRODUCTION,RIFT,4050,NEOGENE,SANDSTONE,164.0,56.0,,1400.0
SHAHEJIE (BANQIAO),38.7,117.53,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,12425,PALEOGENE,SANDSTONE,755.0,83.0,13.6,11.0
ARAB C,25.6,52.55,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,REJUVENATING,SALT/FORELAND,6661,JURASSIC,DOLOMITE,80.0,55.0,25.0,600.0
ARAB D,25.6,52.55,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,REJUVENATING,SALT/FORELAND,6755,JURASSIC,LIMESTONE,130.0,120.0,25.0,500.0
UPPER MINNELUSA (A SAND),44.0413,-105.4063,,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,10555,PERMIAN,SANDSTONE,100.0,21.0,,155.0
LOWER VICKSBURG,26.6226,-98.3153,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,ONSHORE,GAS,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,9400,PALEOGENE,SANDSTONE,300.0,140.0,16.0,0.6
HEMLOCK CONGLOMERATE,60.8399,-151.6153,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,INVERSION/FOREARC,8780,PALEOGENE,CONGLOMERATE,500.0,290.0,11.0,125.0
GRAYBURG,31.4289,-102.3099,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950,PERMIAN,DOLOMITE,400.0,100.0,9.0,5.0
SAN ANDRES,32.5066,-102.5313,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4250,PERMIAN,DOLOMITE,237.0,150.0,10.0,10.0
MEDICINE HAT (A POOL),50.0375,-110.6857,COMPRESSION,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,1305,CRETACEOUS,SILTSTONE,30.0,10.7,20.0,2.0
J2 SANDSTONE,51.8,-114.1,COMPRESSION/EROSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,6880,JURASSIC,SANDSTONE,112.0,63.0,14.5,64.2
PEKISKO,51.8,-114.1,,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,6900,CARBONIFEROUS,DOLOMITE,165.0,42.5,,38.0
ISNOTU,9.8228,-70.9198,COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,FORELAND,1104,NEOGENE,THINLY-BEDDED SANDSTONE,1400.0,100.0,30.0,1000.0
SARIR,27.922,22.4056,,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,8625,CRETACEOUS,SANDSTONE,400.0,85.0,,252.0
DOLGAN (POKUR),69.185,82.4861,COMPRESSION,ONSHORE,METHANE HYDRATE,REJUVENATING,INTRACRATONIC,2756,CRETACEOUS,SANDSTONE,2460.0,66.0,25.0,125.0
CHARLES (MIDALE BEDS),49.4701,-103.4717,COMPRESSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,4400,CARBONIFEROUS,DOLOMITE,64.0,32.0,20.0,3.5
FANGST,65.0789,7.4898,EXTENSION/EROSION,OFFSHORE,GAS,DEVELOPING,RIFT,6480,JURASSIC,SANDSTONE,459.0,380.0,27.5,5625.0
MILK RIVER,50.0688,-111.1423,COMPRESSION,ONSHORE,GAS,UNKNOWN,INTRACRATONIC,984,CRETACEOUS,SILTSTONE,250.0,20.0,14.0,1.0
HUNTON (CHIMNEY HILL-HENRYHOUSE),35.3676,-100.0793,COMPRESSION/EROSION,ONSHORE,GAS,NEARLY DEPLETED,THRUST,19888,SILURIAN,DOLOMITE,930.0,94.0,6.0,7.0
BEKASAP,0.7675,101.4334,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,1960,NEOGENE,SANDSTONE,600.0,200.0,26.0,500.0
ABIOD,34.3856,11.8944,,OFFSHORE,GAS,DEVELOPING,RIFT,9213,CRETACEOUS,CHALK,244.0,193.0,,1.0
ALEG (BIRENO),34.3856,11.8944,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS-CONDENSATE,DEVELOPING,RIFT,10702,CRETACEOUS,CHALKY LIMESTONE,128.0,49.0,13.0,0.1
ALEG (R1 INFERIOR),34.3856,11.8944,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS,DEVELOPING,RIFT,9967,CRETACEOUS,LIMESTONE,85.0,75.0,14.0,5.0
ALEG (R1 SUPERIOR),34.3856,11.8944,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS,DEVELOPING,RIFT,9721,CRETACEOUS,CHALKY LIMESTONE,223.0,26.0,11.0,0.1
WATT MOUNTAIN (GILWOOD A),55.1141,-114.4722,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/PASSIVE MARGIN,5700,DEVONIAN,SANDSTONE,80.0,13.0,13.0,230.0
PRECIPICE,-27.734,150.21,,ONSHORE,OIL,NEARLY DEPLETED,FORELAND/THRUST,5688,JURASSIC,SANDSTONE,250.0,46.0,,460.0
FRONTIER (TIP TOP FIELD),41.6119,-110.2,COMPRESSION/EROSION,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,7000,CRETACEOUS,SANDSTONE,1100.0,90.0,13.0,0.1
MEGION,63.99,74.95,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,8399,CRETACEOUS,SANDSTONE,1476.0,102.0,18.5,45.0
BRENT,61.3833,1.75,EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,8988,JURASSIC,SANDSTONE,425.0,300.0,22.0,750.0
ZELTEN,28.9056,19.7983,EXTENSION/INVERSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5430,PALEOGENE,LIMESTONE,300.0,120.0,22.0,1500.0
NATIH,22.4333,56.7167,COMPRESSION/EVAPORITE,ONSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/FORELAND,2433,CRETACEOUS,CHALKY LIMESTONE,1324.0,439.0,19.0,2.6
TERUMBU,5.4658,109.7833,EXTENSION/COMPRESSION,OFFSHORE,CARBON DIOXIDE,UNDEVELOPED,BACKARC,8218,NEOGENE,LIMESTONE,5335.0,2976.0,15.0,100.0
CHARLES,48.7502,-100.9196,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3310,CARBONIFEROUS,DOLOMITIC LIMESTONE,120.0,17.8,10.0,2.6
SPEARFISH,48.7502,-100.9196,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3310,TRIASSIC,SANDSTONE,120.0,17.8,14.0,13.5
NIAGARA (GUELPH),42.6984,-82.5399,STRIKE-SLIP/TRANSPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2600,SILURIAN,DOLOMITIC LIMESTONE,400.0,100.0,8.0,8.0
BRENT,60.8333,1.4333,EXTENSION/EROSION,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8480,JURASSIC,SANDSTONE,300.0,200.0,20.0,500.0
WATT MOUNTAIN (GILWOOD A POOL),55.8199,-115.1317,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5500,DEVONIAN,SANDSTONE,100.0,14.0,13.5,250.0
RAMPARTS (KEE SCARP),65.2629,-126.8559,,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/FORELAND,1148,DEVONIAN,CHALKY LIMESTONE,425.0,243.0,,4.0
HUECO,32.9752,-103.7292,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,9600,PERMIAN,LIMESTONE,120.0,35.0,9.0,124.0
BURBANK,36.7297,-96.7333,INVERSION/COMPRESSION/EXTENSION/EROSION,ONSHORE,OIL,UNKNOWN,FORELAND,3020,CARBONIFEROUS,SANDSTONE,90.0,47.0,16.8,50.0
SMACKOVER,32.982,-93.1071,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,OIL,UNKNOWN,SALT/PASSIVE MARGIN,12229,JURASSIC,LIMESTONE,250.0,38.0,11.0,61.0
CLEARFORK-GLORIETA,32.66,-102.6875,COMPRESSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,FORELAND,5800,PERMIAN,DOLOMITE,1300.0,400.0,4.0,0.4
LOWER HACKBERRY (FRIO),29.9587,-93.7991,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,DELTA/SALT/PASSIVE MARGIN,10940,PALEOGENE,SHALY SANDSTONE,265.0,130.0,26.0,425.0
YATES,31.5777,-102.9918,COMPRESSION,ONSHORE,OIL,REJUVENATING,FORELAND,2600,PERMIAN,SILTSTONE,300.0,100.0,11.0,16.0
HUNTON (HARAGAN),36.4227,-98.9165,COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,8275,DEVONIAN,DOLOMITE,250.0,38.0,16.0,20.0
VERMELHA,-5.3099,11.9154,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE MARGIN,3065,CRETACEOUS,SANDSTONE,450.0,150.0,24.0,500.0
NUBIA (MAIN FIELD AREA),28.8367,33.0859,EXTENSION/EVAPORITE/INVERSION,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT/RIFT,10388,PALEOZOIC-CRETACEOUS,SANDSTONE,2300.0,450.0,17.0,236.0
LOWER NUTOVO (XII-XX IV),53.1333,143.4667,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,OFFSHORE,OIL,DEVELOPING,INVERSION/WRENCH,3520,NEOGENE,SANDSTONE,2460.0,220.0,20.0,45.0
UNNAMED,51.6289,54.8161,COMPRESSION/EVAPORITE,ONSHORE,GAS,UNKNOWN,SUB-SALT/FORELAND,4232,CARBONIFEROUS-PERMIAN,LIMESTONE,1360.0,563.0,11.0,2.0
14A SEQUENCE,-35.233,21.51,EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/PASSIVE MARGIN,7306,CRETACEOUS,SANDSTONE,115.0,98.0,18.0,500.0
JORSALFARE-VALE (EGGA),63.541,5.3375,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,GAS,DEVELOPING,INVERSION/RIFT,5780,CRETACEOUS-PALEOGENE,SANDSTONE,380.0,115.0,29.0,1000.0
CARAPITA,9.8667,-63.3333,COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,CONTINUING DEVELOPMENT,THRUST/FORELAND,10150,NEOGENE,SANDSTONE,300.0,160.0,13.0,35.0
SAN JUAN,9.8667,-63.3333,COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,DECLINING PRODUCTION,THRUST/PASSIVE MARGIN,12550,CRETACEOUS-PALEOGENE,SANDSTONE,1000.0,650.0,6.0,5.0
PACOOTA AND STAIRWAY,-24.0003,132.7698,COMPRESSION/EVAPORITE,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,5656,ORDOVICIAN,SANDSTONE,2300.0,174.0,4.0,0.01
MACAE (QUISSAMA),-22.788,-40.7674,GRAVITY/EXTENSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,5781,CRETACEOUS,LIMESTONE,650.0,280.0,25.0,800.0
BASSEIN (ZONE B),19.297,71.979,,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/PASSIVE MARGIN,5546,PALEOGENE,LIMESTONE,853.0,82.0,,10.0
UNNAMED,44.3367,-1.0959,COMPRESSION/EROSION,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,FORELAND,6550,CRETACEOUS,DOLOMITE,1300.0,200.0,11.0,10.0
ALMOND,41.6148,-108.5007,COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,FORELAND,4300,CRETACEOUS,SANDSTONE,70.0,20.0,20.0,36.0
GETHING-OSTRACOD-BLUESKY,56.2683,-117.2815,COMPRESSION/EROSION,ONSHORE,BITUMEN,CONTINUING DEVELOPMENT,FORELAND,1500,CRETACEOUS,SANDSTONE,100.0,82.0,28.0,440.0
ABO,33.5606,-104.2916,COMPRESSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,2275,PERMIAN,SANDSTONE,325.0,30.0,13.0,0.04
HALFWAY,56.8646,-120.4777,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3800,TRIASSIC,SANDSTONE,85.0,12.8,12.0,120.0
CARDIUM (PEMBINA RIVER),53.1361,-115.1188,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4000,CRETACEOUS,SANDSTONE,50.0,19.3,13.9,24.0
HERRERA,10.1833,-61.4,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,NEARLY DEPLETED,THRUST/SUB-THRUST/FORELAND,2100,NEOGENE,SANDSTONE,2000.0,1000.0,25.0,100.0
SAN ANDRES,31.7333,-102.5625,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3250,PERMIAN,DOLOMITE,400.0,118.0,11.0,3.0
PIPER-SGIATH,58.4589,0.2708,,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,6776,JURASSIC,SANDSTONE,300.0,200.0,,4000.0
MEGION (BV8),61.583,75.1833,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,7841,CRETACEOUS,SANDSTONE,75.0,24.0,20.0,130.0
VARTOV (BV6),61.583,75.1833,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,7529,CRETACEOUS,SANDSTONE,52.0,19.0,20.0,170.0
VARTOV-ALYM (AV1-2),61.583,75.1833,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,6030,CRETACEOUS,SANDSTONE,69.0,27.0,22.0,108.0
LOWER HACKBERRY (FRIO),29.88,-94.0,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,GAS-CONDENSATE,ABANDONED,DELTA/SALT/PASSIVE MARGIN,10376,PALEOGENE,SHALY SANDSTONE,400.0,26.0,29.0,275.0
ACHIMOV-VARTOV,61.13,70.46,COMPRESSION,ONSHORE,OIL,CONTINUING DEVELOPMENT,INTRACRATONIC,7677,CRETACEOUS,SANDSTONE,1300.0,140.0,19.0,3.6
UNNAMED (UNITS I-II),69.2833,57.25,COMPRESSION/EVAPORITE,OFFSHORE,OIL,UNDEVELOPED,INVERSION/FORELAND,7529,CARBONIFEROUS-PERMIAN,LIMESTONE,660.0,150.0,19.0,120.0
VIKING,52.2022,-110.3508,,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,2400,CRETACEOUS,SANDSTONE,70.0,5.8,,82.0
VIKING (C POOL),52.2022,-110.3508,COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,70.0,4.0,25.0,170.0
LOWER BAHARIYA,29.783,30.529,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,8450,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,145.0,45.0,18.0,700.0
ARAB C,26.5333,49.975,COMPRESSION/EVAPORITE,ONSHORE-OFFSHORE,OIL,TEMPORARILY SHUT-IN,FORELAND/SALT,6900,JURASSIC,LIMESTONE,100.0,81.0,18.0,202.0
ARAB D,26.5333,49.975,COMPRESSION/EVAPORITE,ONSHORE-OFFSHORE,OIL,TEMPORARILY SHUT-IN,FORELAND/SALT,7100,JURASSIC,LIMESTONE,100.0,83.0,15.0,310.0
QUIRIQUIRE,10.0,-63.1667,COMPRESSION/EXTENSION/LINKED/EROSION,ONSHORE,OIL,REJUVENATING,FORELAND/THRUST,1613,NEOGENE,SANDSTONE,1600.0,230.0,20.0,450.0
PALUXY,32.8253,-95.4951,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,6056,CRETACEOUS,SANDSTONE,400.0,35.0,22.0,600.0
UPPER KEG RIVER-MUSKEG (RAINBOW A),58.5052,-119.2926,COMPRESSION/EVAPORITE/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5866,DEVONIAN,LIMESTONE,756.0,400.0,11.8,37.0
BATURAJA,-5.4307,106.2889,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,2725,NEOGENE,LIMESTONE,600.0,86.0,24.5,10.0
NUBIA C,28.2919,33.3144,EXTENSION/EVAPORITE/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,SUB-SALT/RIFT,10700,PALEOZOIC,SANDSTONE,1300.0,750.0,15.0,100.0
MARDIN-RAMAN,37.7642,41.3083,COMPRESSION/EVAPORITE,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,3691,CRETACEOUS,LIMESTONE,175.0,115.0,14.0,10.0
BATURAJA,-2.6544,104.1461,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,2650,NEOGENE,LIMESTONE,164.0,54.0,17.0,2000.0
WEBER,40.1135,-108.8829,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,5500,CARBONIFEROUS-PERMIAN,SANDSTONE,526.0,189.0,12.0,8.0
KEUTAPANG-SEURULA,4.3503,98.0957,,ONSHORE,OIL,MATURE PRODUCTION,BACKARC,920,NEOGENE,SANDSTONE,2000.0,110.0,,120.0
NUBIAN,28.9687,33.1283,EXTENSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,10500,CARBONIFEROUS-CRETACEOUS,SANDSTONE,3000.0,1600.0,12.0,45.0
UPPER MINNELUSA (B SAND),44.1497,-105.1171,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8278,PERMIAN,SANDSTONE,100.0,37.0,12.0,50.0
LEDUC,53.65,-113.3333,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3080,DEVONIAN,LIMESTONE,800.0,100.0,8.0,100.0
WUMISHAN,38.6265,116.0234,,ONSHORE,OIL,NEARLY DEPLETED,RIFT,8527,PROTEROZOIC,DOLOMITE,7680.0,548.0,,1.0
MENKEL /HASSAOUNA,31.39,6.9481,COMPRESSION/EROSION/EXTENSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8200,CAMBRIAN,SANDSTONE,1800.0,902.0,9.0,5.0
AL KHLATA,18.8786,56.3146,GRAVITY/EVAPORITE/EXTENSION,ONSHORE,OIL,UNKNOWN,SALT/RIFT,2973,CARBONIFEROUS-PERMIAN,SANDSTONE,250.0,100.0,25.0,500.0
FRIO-VICKSBURG,26.5307,-98.5866,GRAVITY/EXTENSION/SHALE/SYNSEDIMENTATION,ONSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE MARGIN,3400,PALEOGENE,SANDSTONE,1000.0,150.0,26.0,80.0
PASHIY (D-1 POOL),55.3433,52.8447,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5463,DEVONIAN,SANDSTONE,115.0,29.0,19.0,375.0
CARAPEBUS,-21.9449,-39.7171,GRAVITY/EXTENSION/EVAPORITE,OFFSHORE,OIL,DEVELOPING,SALT/PASSIVE MARGIN,3500,CRETACEOUS,SANDSTONE,500.0,520.0,30.0,1000.0
SWAN HILLS,53.7056,-116.1303,COMPRESSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,10276,DEVONIAN,DOLOMITE,178.0,58.0,9.0,360.0
UPPER MINNELUSA (C SAND),44.1578,-105.4258,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,10225,PERMIAN,SANDSTONE,100.0,25.0,11.3,97.0
MESAVERDE (WILLIAMS FORK-ILES),39.4778,-107.833,,ONSHORE,GAS,PLATEAU PRODUCTION,FORELAND,5500,CRETACEOUS,SANDSTONE,3800.0,297.0,,0.001
HOLLIN,-0.3292,-76.8867,,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/FORELAND,9350,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,370.0,39.0,,400.0
NAPO T-U SANDS,-0.3292,-76.8867,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/FORELAND,8940,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,320.0,46.0,16.0,400.0
BARIK,21.318,56.7018,COMPRESSION/EROSION/GRAVITY/EVAPORITE/EXTENSION,ONSHORE,GAS-CONDENSATE,DEVELOPING,SALT/FORELAND,14600,CAMBRIAN-ORDOVICIAN,SANDSTONE,700.0,450.0,9.0,7.0
SHUAIBA,21.318,56.7018,COMPRESSION/EROSION/GRAVITY/EVAPORITE/EXTENSION,ONSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,4478,CRETACEOUS,CHALKY LIMESTONE,200.0,110.0,27.0,7.0
SECOND WALL CREEK SAND,43.3984,-106.2921,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1300,CRETACEOUS,SANDSTONE,100.0,71.0,19.0,52.0
STAGES IVC-IVF,5.6284,114.8906,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/FORELAND,1180,NEOGENE,SANDSTONE,6739.0,500.0,23.0,250.0
KALOL (PAYZONE K-III),23.1,72.417,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,RIFT/INVERSION,3939,PALEOGENE,SANDSTONE,410.0,20.0,28.0,1000.0
